title,asin,category,rank,new_price1,new_price2
LifeStraw Personal Water Filter,B006QF3TW4,All Electronics,#1,$19.86,$19.93
"SanDisk Ultra 32GB microSDHC UHS-I Card with Adapter, Grey/Red, Standard Packaging (SDSQUNC-032G-GN6MA)",B010Q57T02,All Electronics,#3,$11.74,$12.35
Fujifilm INSTAX Mini Instant Film Twin Pack (White),B00EB4ADQW,All Electronics,#1,$12.48,$7.98
"Fitbit Blaze Smart Fitness Watch, Black, Silver, Large",B019VM3CPW,All Electronics,#100,$196.82,$199.95
Apple EarPods with Remote and Mic,B0097BEG1C,All Electronics,#3,$10.30,$10.31
"Quest Nutrition Protein Bar, Chocolate Chip Cookie Dough, 21g Protein, 2.1oz Bar, 12 Count",B00DLDH1N2,All Electronics,#24,$24.49,$24.49
Samsung 850 EVO 250GB 2.5-Inch SATA III Internal SSD (MZ-75E250B/AM),B00OAJ412U,All Electronics,#2,$85.49,$85.99
"Fitbit Flex Wireless Activity + Sleep Wristband, Black",B00BGO0Q9O,All Electronics,#51,$77.98,$79.00
"SanDisk Ultra 64GB microSDXC UHS-I Card with Adapter, Grey/Red, Standard Packaging (SDSQUNC-064G-GN6MA)",B010Q588D4,All Electronics,#1,$13.48,$11.00
"Western Digital 1TB My Passport Ultra USB 3.0 Secure Portable External Hard Drive, Black (WDBGPU0010BBK-NESN)",B00W8XXRPM,All Electronics,#1,$57.50,$59.00
"Fitbit Alta Fitness Tracker, Silver/Black, Small",B01B25PKB0,All Electronics,#38,$129.00,$129.95
Samsung 850 EVO 500GB 2.5-Inch SATA III Internal SSD (MZ-75E500B/AM),B00OBRE5UE,All Electronics,#1,$142.99,$142.99
"Fitbit Charge HR Wireless Activity Wristband, Black, Large",B00N2BW2PK,All Electronics,#12,$123.37,$128.87
PlayStation 4 500GB Console - Call of Duty Black Ops III Bundle,B018V3ISJ2,All Electronics,#22,$328.39,$323.98
"Fitbit Charge HR Wireless Activity Wristband, Plum, Large",B00N2BW9BW,All Electronics,#58,$121.49,$121.49
Microsoft Xbox LIVE 12 Month Gold Membership,B00EQNP8F4,Gift Cards,#56,$48.46,$48.46
SanDisk 32 GB micro SD Memory Card for All-New Fire Tablets and All-New Fire TV,B013TMNKAW,Amazon Devices,#1,$8.70,$11.87
"GermGuardian AC4825, 3-in-1 Air Cleaning System with True HEPA, UV-C and Odor Reduction, 22-Inch",B004VGIGVY,Appliances,#111,$99.99,$100.07
Arm & Hammer Double Duty Clumping Litter,B004U8Z436,Pet Supplies,#19,$13.59,$23.92
Sawyer Products Premium Insect Repellent with 20% Picaridin,B0015KG5NK,"Patio, Lawn & Garden",#2,$8.96,$8.97
"Swingline Desktop Hole Punch, Precision Pro, 2 - 3 Holes, Adjustable Centers, 10 Sheets (74037)",B0006HUPHU,"Arts, Crafts & Sewing",#65,$7.84,$11.49
SPT 14-Inch DC-Motor Stand Fan,B007SYOFVQ,Tools & Home Improvement,"#147,627",$68.18,$64.45
AmazonBasics Mini Bluetooth Speaker - Black,B00GUTY3DK,Automotive,#57,$22.49,$24.99
LifeStraw Personal Water Filter,B006QF3TW4,Sports & Outdoors,#1,$19.86,$19.93
ZAC Zac Posen Iconic Small Double Convertible Top Handle Bag,B0195Y36KC,,"#576,836",$525.00,$525.00
"Fitbit Flex Wireless Activity + Sleep Wristband, Black",B00BGO0Q9O,Cell Phones & Accessories,#51,$77.98,$79.00
"iClever BoostCube 4.8A 24W Dual USB Travel Wall Charger with SmartID Technology, Foldable Plug for iPhone iPad, Samsung Galaxy, HTC Nexus Moto Blackberry, Bluetooth Speaker Headset & Power Bank, White",B00QTE09SY,Cell Phones & Accessories,#10,$10.99,$10.99
"iPhone 6S Screen Protector, amFilm iPhone 6S Tempered Glass Screen Protector for Apple iPhone 6, iPhone 6S 2015 (2-Pack)",B01415QHYW,Cell Phones & Accessories,#11,$7.99,$3.00
"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120-K (Black) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit",B003EM8008,Cell Phones & Accessories,#1,$7.63,$7.63
"SanDisk Ultra 64GB microSDXC UHS-I Card with Adapter, Grey/Red, Standard Packaging (SDSQUNC-064G-GN6MA)",B010Q588D4,Cell Phones & Accessories,#1,$13.48,$11.00
Samsung 32GB EVO Class 10 Micro SDHC Card with Adapter up to 48MB/s (MB-MP32DA/AM),B00IVPU786,Cell Phones & Accessories,#2,$9.84,$9.84
"SanDisk Ultra 32GB microSDHC UHS-I Card with Adapter, Grey/Red, Standard Packaging (SDSQUNC-032G-GN6MA)",B010Q57T02,Cell Phones & Accessories,#3,$11.74,$12.35
"iPhone 6 Screen Protector, Maxboost® [Tempered Glass] 0.2mm Ballistic Glass iPhone 6 Glass Screen Protector Work with iPhone 6 and Protective Case [Lifetime Warranty]",B00QN1T6NM,Cell Phones & Accessories,#4,$6.99,$6.99
Apple EarPods with Remote and Mic,B0097BEG1C,Cell Phones & Accessories,#3,$10.30,$10.31
SanDisk 32 GB micro SD Memory Card for All-New Fire Tablets and All-New Fire TV,B013TMNKAW,All Electronics,#1,$8.70,$11.87
"HP OfficeJet Pro 8610 All-in-One Color Photo Printer with Wireless & Mobile Printing, Instant Ink ready. (A7F64A)",B00J9E68B8,All Electronics,#1,$94.20,$94.23
Intel Boxed Core I7-6700K 4.00 GHz 8M Processor Cache 4 LGA 1151 BX80662I76700K,B012M8LXQW,All Electronics,#1,$333.00,$329.52
Omron 10 Series Wireless Upper Arm Blood Pressure Monitor with Cuff that fits Standard and Large Arms (BP786) with Bluetooth Smart Connectivity,B00KW4PO82,All Electronics,#66,$64.99,$64.99
TCL 32S3800 32-Inch 720p Roku Smart LED TV (2015 Model),B00UB9UJBA,All Electronics,#28,$169.99,$160.00
"Brita Everyday Water Filter Pitcher, 10 Cup",B004GNGID0,Home & Kitchen,#10,$20.99,$22.45
"Car Mount, WizGear™ Universal Air Vent Magnetic Car Mount Holder, for Cell Phones and Mini Tablets with Fast Swift-SnapTM Technology, Magnetic Cell Phone Mount",B00PGJWYJ0,Cell Phones & Accessories,#14,$6.99,$7.99
"iXCC 3-Ft Tangle-Free Male to Male 3.5mm Auxiliary Cable with Gold Plated Connectors for Apple, Android Smartphones, Tablet and MP3 Players - Standard Packaging",B00KWR8ME2,Cell Phones & Accessories,#1,$4.79,$4.99
"Joto Universal Waterproof Case for Apple iPhone 6S, 6,6S Plus, 5S, Samsung Galaxy S7, S6 Note 5, 4, HTC, LG, Sony, Nokia, Motorola up to 6.0"" Diagonal - Black",B00LBK7OSY,Cell Phones & Accessories,,$7.99,$8.99
"iPhone 6s Case, Geekmart iPhone 6s Case Clear Soft Silicone Back Cover for 4.7 inches iPhone 6/iPhone 6s GM010-F",B0194X7ETI,Cell Phones & Accessories,#68,$1.71,$0.68
"iPhone 6S Plus Screen Protector, Tech Armor Apple iPhone 6 Plus (5.5 inch ONLY) HD Clear Ballistic Glass (.3mm) - Maximize Resale Value - Max Clarity & Touch Accuracy",B00NGMVD8W,Cell Phones & Accessories,#25,$5.95,$8.95
NETGEAR AC1600 WiFi DOCSIS 3.0 Cable Modem Router (C6250-100NAS),B0111MRLLG,Cell Phones & Accessories,"#1,559",$169.99,$169.99
SanDisk Ultra SDSDQUAN-032G-G4A 32GB UHS-I/Class 10 Micro SDHC Memory Card With Adapter,B00M55C0NS,Cell Phones & Accessories,#5,$11.90,$11.99
